name,state,lat,lon,population,country
Idaho Falls,ID,43.4871,-112.0362,111137,US
Downey,CA,33.9379,-118.1311,110939,US
South Fulton,GA,33.6273,-84.58,110471,US
Costa Mesa,CA,33.6667,-117.9135,110330,US
Menifee,CA,33.6909,-117.1849,110305,US
Allen,TX,33.1088,-96.6735,110265,US
Sparks,NV,39.5736,-119.7161,110024,US
Leominster,MA,42.5209,-71.7717,110022,US
Sugar Land,TX,29.5935,-95.6358,110016,US
Eau Claire,WI,44.8197,-91.4948,109971,US
San Buenaventura,CA,34.2741,-119.2314,109857,US
San Tan Valley,AZ,33.1786,-111.5629,109189,US
White Rock,BC,49.025,-122.8028,109167,CA
Thunder Bay,ON,48.3822,-89.2461,108843,CA
Auburn,AL,32.6087,-85.4903,108605,US
Rio Rancho,NM,35.2873,-106.6982,108515,US
Delta,BC,49.0847,-123.0586,108455,CA
Davie,FL,26.0789,-80.287,108346,US
Chico,CA,39.7578,-121.8161,108267,US
Hillsboro,OR,45.5273,-122.936,108231,US
Centennial,CO,39.5926,-104.8673,108201,US
Bloomington,IN,39.1637,-86.5257,107655,US
Goodyear,AZ,33.2614,-112.3622,107645,US
Dearborn,MI,42.3127,-83.213,107423,US
Holland,MI,42.7677,-86.0984,107348,US
Sandy Springs,GA,33.9366,-84.3703,107087,US
West Covina,CA,34.0555,-117.9113,107037,US
Jurupa Valley,CA,34.001,-117.4706,107011,US
Bowling Green,KY,36.9716,-86.4378,106928,US
Longview,TX,32.5193,-94.7622,106896,US
Spokane Valley,WA,47.6626,-117.2346,106365,US
El Monte,CA,34.0739,-118.0291,106109,US
Nanaimo,BC,49.1642,-123.9364,106079,CA
Brockton,MA,42.0821,-71.0242,105386,US
Renton,WA,47.4784,-122.1918,105317,US
Buckeye,AZ,33.4314,-112.6429,104923,US
Brantford,ON,43.1667,-80.25,104688,CA
New Braunfels,TX,29.6994,-98.1148,104643,US
Inglewood,CA,33.9566,-118.3444,104569,US
Edinburg,TX,26.3196,-98.1597,104550,US
Burbank,CA,34.1879,-118.3235,104546,US
El Cajon,CA,32.8017,-116.9604,104449,US
Columbia,MD,39.2004,-76.859,104338,US
Rialto,CA,34.1175,-117.3892,104143,US
Portsmouth,NH,43.058,-70.7826,104019,US
Chatham,ON,42.4229,-82.1324,103988,CA
Lee's Summit,MO,38.9171,-94.3816,103656,US
Kingsport,TN,36.5224,-82.5454,103542,US
Charlottesville,VA,38.0375,-78.4855,103155,US
San Mateo,CA,37.5522,-122.3121,103105,US
Vacaville,CA,38.3587,-121.9673,102596,US
Wichita Falls,TX,33.9072,-98.5291,102581,US
Longmont,CO,40.1686,-105.1005,102512,US
Conroe,TX,30.3238,-95.4824,102360,US
Fishers,IN,39.9588,-85.9659,102337,US
Highlands Ranch,CO,39.5419,-104.9708,102257,US
Quincy,MA,42.2506,-71.0187,102114,US
Daly City,CA,37.6862,-122.4685,101964,US
Lynn,MA,42.4781,-70.9664,101709,US
Carmel,IN,39.965,-86.146,101651,US
Clarington,ON,43.935,-78.6083,101427,CA
Saint-Jerome,QC,45.7833,-74.0,100859,CA
Red Deer,AB,52.2681,-113.8111,100844,CA
Hesperia,CA,34.3975,-117.3147,100775,US
Bismarck,ND,46.8143,-100.7694,100537,US
Santa Fe,NM,35.6619,-105.9819,100264,US
Boca Raton,FL,26.3752,-80.108,100234,US
Norwalk,CA,33.9069,-118.0829,99789,US
San Angelo,TX,31.4424,-100.4504,99674,US
Lafayette,CO,39.9946,-105.0998,99552,US
Federal Way,WA,47.3091,-122.3358,99493,US
Atascocita,TX,29.9777,-95.1953,99354,US
Pickering,ON,43.8354,-79.089,99186,CA
Vista,CA,33.1896,-117.2386,99114,US
Prescott Valley,AZ,34.598,-112.3185,98921,US
Suffolk,VA,36.6953,-76.6398,98796,US
Lethbridge,AB,49.6942,-112.8328,98406,CA
Palm Coast,FL,29.5389,-81.2457,98258,US
Williamsburg,VA,37.2693,-76.7076,97985,US
Sunrise,FL,26.1547,-80.2997,97918,US
Kamloops,BC,50.6761,-120.3408,97902,CA
Saint-Jean-sur-Richelieu,QC,45.3167,-73.2667,97873,CA
Beaverton,OR,45.4779,-122.8168,97812,US
Middletown,OH,39.5033,-84.3659,97529,US
Lawrence,KS,38.9597,-95.2642,97387,US
La Crosse,WI,43.8241,-91.2268,97218,US
Portsmouth,VA,36.8468,-76.354,97190,US
Orem,UT,40.2981,-111.6994,97182,US
Tracy,CA,37.7269,-121.4523,96966,US
Edmond,OK,35.6689,-97.416,96825,US
Plantation,FL,26.1259,-80.2617,96293,US
Fort Myers,FL,26.6194,-81.8302,95051,US
Arden-Arcade,CA,38.6017,-121.3845,94994,US
San Marcos,CA,33.135,-117.1743,94882,US
San German,PR,18.0827,-67.046,94548,US
Niagara Falls,ON,43.06,-79.1067,94415,CA
Sandy,UT,40.5709,-111.8506,94291,US
